Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES
2000-01-03,26.34682464599609,6.592209815979004,,18.25,,1.2356278896331787,16.274673461914062,15.5,,28.5821533203125
2000-01-04,25.299936294555664,6.4038591384887695,,17.8125,,1.1980422735214231,14.909400939941404,14.625,,27.448732376098636
2000-01-05,26.032758712768555,6.392087936401367,,18.0,,1.2027404308319092,15.20417308807373,15.0,,27.74440956115723
2000-01-06,28.12655639648437,6.615753173828125,,18.03125,,1.1792494058609009,15.328289985656738,16.0,,27.966163635253906
2000-01-07,28.68490028381348,6.68638277053833,,17.9375,,1.2121368646621704,16.072982788085938,16.25,,28.50823783874512
2000-01-10,28.545318603515625,6.639296054840088,,20.5,,1.2732136249542236,16.693561553955078,17.5,,29.78951072692871
2000-01-11,28.05675506591797,6.545121192932129,,19.8125,,1.329591989517212,15.545493125915527,17.25,,29.93735122680664
2000-01-12,28.12655639648437,6.486320495605469,,19.59375,,1.2732136249542236,15.467921257019045,18.125,,30.55334663391113
2000-01-13,28.12655639648437,6.426809787750244,,21.0,,1.2873080968856812,16.290189743041992,18.875,,31.07077789306641
2000-01-14,27.72523307800293,6.569629192352295,,21.375,,1.2732136249542236,16.460847854614258,20.1875,,32.82019805908203
2000-01-18,27.11455345153809,6.426809787750244,,26.0,,1.2779115438461304,15.88680934906006,19.5,,30.72580718994141
2000-01-19,27.58564758300781,6.2958946228027335,,24.375,,1.2591190338134766,15.669607162475586,19.59375,,30.89829444885254
2000-01-20,26.55620574951172,6.1054725646972665,,23.5,,1.1886459589004517,15.840267181396484,19.5,,30.62726402282715
2000-01-21,26.50387763977051,5.938849925994872,,29.4375,,1.1369656324386597,15.607548713684082,18.9375,,31.53893280029297
2000-01-24,25.8931827545166,5.712719440460205,,31.375,,1.1275691986083984,15.033514022827148,17.25,,31.53893280029297
2000-01-25,25.50931739807129,5.641312122344972,,28.75,,1.0899835824966428,15.638579368591307,20.0,,29.96198081970215
2000-01-26,26.88772392272949,5.653213024139403,,28.875,,1.193343997001648,15.18865966796875,18.5,,28.55751800537109
2000-01-27,26.870281219482425,5.867442607879639,,29.0,,1.2920063734054563,15.561006546020508,18.46875,,29.912710189819336
2000-01-28,25.753591537475586,6.069766044616699,,29.4375,,1.2309297323226929,14.288822174072266,17.625,,30.109827041625977
2000-01-31,26.13744354248047,6.200683116912843,,29.25,,1.174551248550415,13.668240547180176,18.0,,31.58821105957031
2000-02-01,26.277027130126953,6.260190963745117,,28.75,,1.2685152292251587,13.8699312210083,18.28125,,31.83460998535156
2000-02-02,25.823383331298828,6.2958946228027335,,28.125,,1.3061009645462036,15.21968936920166,18.03125,,31.267902374267575
2000-02-03,25.59655952453613,6.33159875869751,,26.75,,1.3201956748962402,17.14348030090332,19.5,,31.68676567077637
2000-02-04,24.863733291625977,6.557726860046388,,27.5625,,1.1839476823806765,18.36912727355957,19.28125,,29.66630935668945
2000-02-07,24.462425231933594,6.438711643218994,,29.5625,,1.1275691986083984,19.12933349609375,20.65625,,31.53893280029297
2000-02-08,24.47986602783203,6.4982194900512695,,28.375,,1.1087764501571655,20.789382934570312,20.6875,,33.28835678100586
2000-02-09,24.462425231933594,6.867166519165039,,27.375,,1.0923326015472412,21.735763549804688,21.03125,,33.85506820678711
2000-02-10,24.008771896362305,6.688644409179688,,29.4375,,1.0852853059768677,22.65111541748047,21.25,,32.67235946655273
2000-02-11,23.15380477905273,6.474417209625244,,29.5,,1.1181728839874268,22.44942855834961,22.75,,32.327407836914055
2000-02-14,23.13634490966797,6.676743984222412,,29.25,,1.0805871486663818,22.247737884521484,21.625,,33.70724105834961
2000-02-15,24.881187438964844,6.688644409179688,,32.5,,1.052397847175598,22.061565399169922,21.75,,34.05218505859375
2000-02-16,24.65435791015625,6.6053338050842285,,35.375,,1.053572416305542,24.373220443725586,21.875,,34.76674652099609
2000-02-17,25.020771026611328,6.5220232009887695,,41.3125,,1.0547471046447754,25.211000442504886,21.5,,34.66818618774414
2000-02-18,24.444978713989254,6.212584018707275,,40.75,,1.0148123502731323,24.38873672485352,21.5,,34.692832946777344
2000-02-22,25.16034698486328,6.355403423309326,,36.9375,,1.0054159164428709,24.396486282348636,20.90625,,33.87970733642578
2000-02-23,26.107065200805664,6.117372512817383,,35.5546875,,0.981924831867218,24.73004913330078,20.53125,,33.18978881835937
2000-02-24,25.73587417602539,6.0459632873535165,,35.625,,0.986623227596283,26.405616760253906,21.28125,,33.460830688476555
2000-02-25,24.25110244750977,6.1054725646972665,,37.625,,0.9584338068962096,24.450796127319336,20.25,,33.312999725341804
2000-02-28,24.445545196533203,6.307796001434326,,37.0,,0.9443390965461732,24.28013038635254,18.875,,33.830429077148445
2000-02-29,24.940465927124023,6.283996105194093,,36.96875,,0.953735649585724,25.31960678100586,19.75,,33.04196548461914
2000-03-01,24.357160568237305,6.438711643218994,,33.625,,1.0899835824966428,24.91623115539551,20.25,,32.302757263183594
2000-03-02,24.33949089050293,6.379204750061035,,32.3125,,1.0899835824966428,20.013654708862305,19.625,,34.34787750244141
2000-03-03,25.311641693115234,6.176880359649657,,33.875,,1.113474726676941,22.495975494384766,20.75,,34.273956298828125
2000-03-06,24.67534637451172,5.950748920440674,,34.0625,,1.0805871486663818,21.30136108398437,23.75,,32.080997467041016
2000-03-07,23.40267372131348,5.641312122344972,,32.125,,1.0336050987243652,20.15328788757324,27.5,,31.391098022460934
2000-03-08,23.349647521972656,5.903143882751465,,29.5,,0.9913212656974792,19.62580108642578,26.75,,30.84902381896973
